,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2010,1,1,0,0,0,0,0,4,-13.15,0,0,0,163.257692611,-5.15,812,57,0.511811040342,255,5
1,2010,1,1,1,0,0,0,0,4,-12.15,0,0,0,159.420670806,-5.15,812,57,0.511811040342,255,5
2,2010,1,1,2,0,0,0,0,7,-12.15,0,0,0,150.228271726,-4.15,812,58,0.551181118935,255,4
3,2010,1,1,3,0,0,0,0,1,-11.15,0,0,0,139.2636849,-3.15,812,58,0.590551197529,255,4
4,2010,1,1,4,0,0,0,0,4,-10.15,0,0,0,127.793982425,-3.15,812,58,0.590551197529,255,4
5,2010,1,1,5,0,0,0,0,8,-10.15,0,0,0,116.307223396,-2.15,812,58,0.629921276122,255,4
6,2010,1,1,6,0,0,0,0,7,-9.15,0,0,0,105.090891253,-2.15,812,57,0.669291354716,257,3
7,2010,1,1,7,0,0,0,0,4,-9.15,0,0,0,94.403120281,-1.15,812,55,0.708661433309,258,3
8,2010,1,1,8,0,36,345,69,-15,-8.15,37,149,51,84.5452573202,-0.15,813,54,0.708661433309,259,3
9,2010,1,1,9,0,59,715,233,4,-8.15,102,173,144,75.9115676161,0.85,813,52,0.748031511903,261,2
10,2010,1,1,10,0,71,843,373,2,-7.15,161,194,230,69.0088083995,1.85,813,50,0.787401590496,265,2
11,2010,1,1,11,0,78,899,466,2,-7.15,196,263,310,64.4274859769,2.85,813,49,0.787401590496,268,2
12,2010,1,1,12,0,80,918,501,1,-7.15,217,198,308,62.6964933976,2.85,813,49,0.82677166909,261,1
13,2010,1,1,13,0,78,908,475,0,-6.15,78,908,475,64.0533149958,3.85,813,49,0.82677166909,255,1
14,2010,1,1,14,0,70,867,390,8,-6.15,165,213,244,68.3098600625,3.85,813,49,0.866141747683,244,1
15,2010,1,1,15,0,55,774,256,0,-6.15,55,774,256,74.9602676647,3.85,812,49,0.866141747683,198,1
16,2010,1,1,16,0,36,481,91,-15,-6.15,36,481,91,83.4112572283,4.85,812,49,0.905511826277,180,1
17,2010,1,1,17,0,0,0,0,0,-5.15,0,0,0,93.1421020933,4.85,812,49,0.905511826277,179,1
18,2010,1,1,18,0,0,0,0,7,-5.15,0,0,0,103.745106117,3.85,812,53,0.905511826277,232,1
19,2010,1,1,19,0,0,0,0,6,-5.15,0,0,0,114.909578948,2.85,812,56,0.905511826277,248,2
20,2010,1,1,20,0,0,0,0,6,-5.15,0,0,0,126.374484752,1.85,812,60,0.905511826277,251,3
21,2010,1,1,21,0,0,0,0,6,-5.15,0,0,0,137.860454317,0.85,812,63,0.905511826277,252,3
22,2010,1,1,22,0,0,0,0,6,-5.15,0,0,0,148.918153108,-0.15,810,67,0.905511826277,255,4
23,2010,1,1,23,0,0,0,0,6,-6.15,0,0,0,158.432107001,-1.15,810,69,0.905511826277,257,4
24,2010,1,2,0,0,0,0,0,6,-6.15,0,0,0,163.167322101,-1.15,810,69,0.905511826277,259,4
25,2010,1,2,1,0,0,0,0,6,-6.15,0,0,0,159.405049879,-1.15,810,69,0.905511826277,261,4
26,2010,1,2,2,0,0,0,0,6,-6.15,0,0,0,150.252450844,-1.15,810,69,0.866141747683,264,4
27,2010,1,2,3,0,0,0,0,7,-6.15,0,0,0,139.302267414,-1.15,810,68,0.866141747683,266,4
28,2010,1,2,4,0,0,0,0,7,-6.15,0,0,0,127.835869832,-1.15,809,68,0.866141747683,269,4
29,2010,1,2,5,0,0,0,0,7,-6.15,0,0,0,116.346511826,-0.15,809,67,0.866141747683,274,3
30,2010,1,2,6,0,0,0,0,7,-6.15,0,0,0,105.123392954,0.85,809,63,0.866141747683,279,3
31,2010,1,2,7,0,0,0,0,1,-5.15,0,0,0,94.4250231574,1.85,809,60,0.866141747683,288,3
32,2010,1,2,8,0,36,346,68,-15,-5.15,20,0,20,84.5525250112,2.85,809,56,0.866141747683,295,3
33,2010,1,2,9,0,59,718,234,7,-5.15,92,23,97,75.8997752752,3.85,809,52,0.866141747683,302,4
34,2010,1,2,10,0,72,847,376,6,-6.15,110,0,110,68.9735546536,4.85,809,49,0.866141747683,309,4
35,2010,1,2,11,0,78,904,469,7,-6.15,129,605,391,64.3656983765,4.85,809,46,0.866141747683,313,4
36,2010,1,2,12,0,80,924,505,7,-6.15,168,14,174,62.6083256941,4.85,809,47,0.82677166909,313,4
37,2010,1,2,13,0,78,915,480,6,-6.15,144,3,146,63.9429976695,3.85,809,48,0.82677166909,315,4
38,2010,1,2,14,0,70,875,396,7,-6.15,129,498,314,68.1840897667,3.85,809,49,0.82677166909,315,4
39,2010,1,2,15,0,56,785,262,7,-6.15,81,523,218,74.8255072892,2.85,809,50,0.82677166909,316,4
40,2010,1,2,16,0,37,497,95,-15,-7.15,45,296,79,83.2722058278,2.85,809,51,0.787401590496,316,4
41,2010,1,2,17,0,0,0,0,0,-7.15,0,0,0,93.0015685332,1.85,809,52,0.787401590496,315,4
42,2010,1,2,18,0,0,0,0,1,-7.15,0,0,0,103.604527303,0.85,809,55,0.787401590496,306,4
43,2010,1,2,19,0,0,0,0,1,-7.15,0,0,0,114.769433053,-0.15,810,57,0.748031511903,296,4
44,2010,1,2,20,0,0,0,0,0,-8.15,0,0,0,126.234571956,-1.15,810,59,0.708661433309,286,4
45,2010,1,2,21,0,0,0,0,1,-8.15,0,0,0,137.720070746,-2.15,810,61,0.708661433309,275,4
46,2010,1,2,22,0,0,0,0,0,-9.15,0,0,0,148.776750364,-2.15,812,64,0.669291354716,265,4
47,2010,1,2,23,0,0,0,0,4,-9.15,0,0,0,158.294542636,-3.15,812,65,0.669291354716,258,4
48,2010,1,3,0,0,0,0,0,7,-9.15,0,0,0,163.068881113,-3.15,812,65,0.629921276122,259,4
49,2010,1,3,1,0,0,0,0,6,-10.15,0,0,0,159.381531727,-4.15,812,64,0.629921276122,259,4
50,2010,1,3,2,0,0,0,0,6,-11.15,0,0,0,150.270190844,-4.15,812,63,0.590551197529,259,4
51,2010,1,3,3,0,0,0,0,6,-11.15,0,0,0,139.335187398,-4.15,812,62,0.551181118935,259,4
52,2010,1,3,4,0,0,0,0,7,-11.15,0,0,0,127.872368758,-5.15,812,61,0.551181118935,259,4
53,2010,1,3,5,0,0,0,0,7,-11.15,0,0,0,116.380398208,-5.15,813,61,0.551181118935,261,4
54,2010,1,3,6,0,0,0,0,7,-10.15,0,0,0,105.150298039,-4.15,813,62,0.590551197529,264,3
55,2010,1,3,7,0,0,0,0,4,-10.15,0,0,0,94.441008594,-3.15,813,62,0.629921276122,269,3
